what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1302607869421
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1302607869421
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1302607869421
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1302607869421
os,sysinfo,,,"win32",1302607869421
arch,sysinfo,,,"x86",1302607869421
ws,sysinfo,,,"win32",1302607869421
locale,sysinfo,,,"no_NO",1302607869421
processors,sysinfo,,,"2",1302607869421
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1302607869421
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1302607869421
java.specification.name,sysinfo,,,"Java Platform API Specification",1302607869421
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1302607869421
java.specification.version,sysinfo,,,"1.6",1302607869421
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1302607869421
java.version,sysinfo,,,"1.6.0_23",1302607869421
java.vm.info,sysinfo,,,"mixed mode, sharing",1302607869421
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1302607869421
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1302607869421
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1302607869421
java.vm.specification.version,sysinfo,,,"1.0",1302607869421
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1302607869421
java.vm.version,sysinfo,,,"19.0-b09",1302607869421
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1302607870140
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1302607870156
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1302607870171
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302607877234
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302607944031
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1302607944062
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302607946171
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302607947343
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302607947406
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1302607947593
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1302607947609
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1302607947671
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1302607947687
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1302607947687
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1302607947687
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1302607947687
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1302607947687
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1302607947687
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1302607947687
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1302607947687
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1302607947687
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1302607947703
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1302607947703
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.304.v201101251958,"org.eclipse.wst.xsd.ui",1302607947703
stopped,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1302607947703
